Airport,latitude,longtude
Haneda,35.53333333333333,139.76666666666668
Narita,35.766666666666666,140.36666666666667
Kansai,34.416666666666664,135.25
Fujisan_Shizuoka,34.8,138.18333333333334
Chubu,34.86666666666667,136.8
Takamatsu,34.21666666666667,134.01666666666668
Hiroshima,34.416666666666664,132.91666666666666
Shin_Chitose,42.8,141.66666666666666
Kagoshima,31.8,130.71666666666667
Naha,26.166666666666668,127.65
Fukuoka,33.56666666666667,130.43333333333334
Sendai,38.11666666666667,140.91666666666666
Komatsu,36.36666666666667,136.41666666666666
Hakodate,41.766666666666666,140.81666666666666
